episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
4700,154.479373,13.550330,139.766746,0.662300,0.061993,0.638234,0.256620,0.045961,0.262719,26.036900,0.618410,25.718115,174.337873,17.897309,177.280612,0.796980,0.085990,0.774767,0.128860,0.056204,0.140508,27.005680,0.922550,27.047515
4800,159.420138,26.385802,144.680094,0.665300,0.049709,0.645001,0.271420,0.035884,0.264895,26.447200,0.229575,25.900386,175.269976,18.413797,176.777953,0.790980,0.049593,0.778820,0.157300,0.069634,0.144706,27.344460,0.866499,27.121752
4900,148.121201,24.594232,145.540371,0.685420,0.084746,0.655105,0.247200,0.025522,0.260471,26.181360,0.585138,25.970630,179.387872,26.933454,177.430433,0.790240,0.075354,0.781675,0.125680,0.037338,0.139949,27.452360,0.598819,27.204404
5000,154.409802,32.929931,147.757729,0.699200,0.015726,0.666129,0.244680,0.053179,0.256523,26.333220,0.471120,26.061277,196.920709,24.953658,182.303002,0.768780,0.082353,0.778451,0.108420,0.036999,0.132067,27.523480,0.329720,27.284173
5100,183.449024,19.463118,156.680552,0.654700,0.050693,0.663272,0.259260,0.027537,0.257207,26.810580,0.528772,26.248603,175.865591,32.121889,180.693649,0.843960,0.062242,0.794829,0.076600,0.025076,0.118200,27.658020,0.880742,27.377635
5200,172.523737,18.921883,160.641349,0.645680,0.043979,0.658874,0.282340,0.067985,0.263491,25.978760,0.597474,26.181142,168.539032,26.671068,177.654995,0.843060,0.061869,0.806886,0.108680,0.052532,0.115820,27.113960,1.128520,27.311716
5300,158.522845,12.808673,160.111723,0.691800,0.056883,0.667105,0.263360,0.050194,0.263458,26.845020,0.380842,26.347112,187.027343,32.083987,179.998082,0.806600,0.070887,0.806815,0.132460,0.059543,0.119980,27.284820,0.303037,27.304992
5400,165.142062,11.160940,161.369308,0.674520,0.058460,0.668959,0.240080,0.037251,0.257613,25.949000,1.100519,26.247584,196.625371,28.842507,184.154904,0.822700,0.067521,0.810786,0.104440,0.055675,0.116095,27.486540,0.682994,27.350379
5500,151.446490,15.609325,158.888603,0.711140,0.013417,0.679504,0.232940,0.039228,0.251445,25.772880,0.607052,26.128908,174.755380,20.992680,181.805023,0.787580,0.066723,0.804985,0.109540,0.049306,0.114456,27.493180,0.381886,27.386079
5600,155.869447,19.379260,158.133814,0.680700,0.034264,0.679803,0.233700,0.040362,0.247009,25.890080,0.551452,26.069201,173.290801,24.733747,179.676468,0.825080,0.075191,0.810008,0.126480,0.067824,0.117462,27.275120,0.763409,27.358339
