episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
3400,125.419000,19.372123,102.703466,0.491680,0.082759,0.472474,0.384300,0.043008,0.408236,25.361640,1.073599,24.063729,112.081356,19.389761,105.403232,0.562620,0.061872,0.533183,0.332160,0.019925,0.337834,24.599020,1.258837,23.971665
3500,128.994240,28.249132,109.276159,0.482840,0.062813,0.475065,0.365820,0.047979,0.397632,24.742940,0.646000,24.233532,136.163147,33.399763,113.093211,0.558000,0.116529,0.539387,0.304420,0.035540,0.329480,24.460300,0.852372,24.093824
3600,122.399112,22.131296,112.556897,0.513220,0.033543,0.484604,0.419940,0.069087,0.403209,24.378460,0.751710,24.269764,138.600821,16.467818,119.470113,0.570160,0.069530,0.547080,0.307240,0.051215,0.323920,24.903060,0.827460,24.296133
3700,105.859166,21.224110,110.882465,0.506080,0.072531,0.489973,0.353660,0.033122,0.390822,24.707520,1.354767,24.379203,142.260491,11.225140,125.167708,0.647260,0.066303,0.572125,0.302800,0.027243,0.318640,25.366800,0.620392,24.563800
3800,128.497421,12.029601,115.286204,0.517680,0.043310,0.496900,0.362400,0.070087,0.383716,23.951320,0.947592,24.272232,145.832838,31.838586,130.333990,0.618040,0.075979,0.583604,0.269340,0.032172,0.306315,24.087620,0.763629,24.444755
3900,124.465152,21.581772,117.580941,0.514400,0.066046,0.501275,0.376660,0.041452,0.381952,23.425860,0.888679,24.060639,161.974614,22.824661,138.244146,0.565680,0.086278,0.579123,0.317720,0.022284,0.309166,24.223820,0.507915,24.389521
4000,70.370544,18.955405,105.778342,0.479800,0.068991,0.495906,0.354860,0.035714,0.375179,23.949040,1.134067,24.032739,135.150763,19.205659,137.470800,0.581280,0.060574,0.579662,0.298900,0.035471,0.306600,25.258220,0.844522,24.606696
4100,84.731941,22.978705,100.516741,0.475200,0.075665,0.490730,0.356780,0.069482,0.370579,23.907540,0.726648,24.001440,117.635136,16.759290,132.511884,0.598040,0.074881,0.584257,0.293940,0.026246,0.303435,24.152580,0.271151,24.493167
4200,105.704082,15.204041,101.813577,0.516980,0.104098,0.497292,0.335440,0.032286,0.361795,24.236740,0.562959,24.060265,121.529861,21.164681,129.766378,0.611840,0.066485,0.591153,0.291020,0.016597,0.300331,24.170360,0.353488,24.412465
4300,101.297864,16.380974,101.684648,0.617580,0.034878,0.527364,0.388060,0.037708,0.368361,24.290460,0.634116,24.117813,110.558694,13.913312,124.964457,0.598080,0.073919,0.592884,0.264160,0.033017,0.291288,24.893680,0.883320,24.532769
4400,60.730507,16.450116,91.446113,0.515840,0.076635,0.524483,0.350020,0.023989,0.363776,24.798620,0.663242,24.288015,117.154868,26.373164,123.012060,0.639740,0.071022,0.604598,0.300100,0.032805,0.293491,25.312160,0.656463,24.727617
4500,108.939204,20.221106,95.819386,0.531680,0.062713,0.526282,0.328860,0.082636,0.355047,24.972900,0.306461,24.459236,117.217259,11.354110,121.563360,0.605620,0.030977,0.604854,0.271100,0.015555,0.287893,24.867240,0.491483,24.762522
4600,137.570781,19.592889,106.257235,0.542020,0.084827,0.530217,0.358100,0.037116,0.355810,25.277160,1.052437,24.663717,119.255687,8.368365,120.986442,0.584880,0.051052,0.599860,0.249320,0.039077,0.278250,25.823600,0.330221,25.027792
4700,116.971391,27.895562,108.935774,0.563840,0.080351,0.538623,0.326920,0.063372,0.348588,24.648860,0.979169,24.660003,105.962628,13.302583,117.230488,0.647860,0.088837,0.611860,0.293580,0.035852,0.282083,25.814020,1.064922,25.224349
4800,156.048299,28.459982,120.713905,0.479020,0.053126,0.523722,0.353960,0.013796,0.349931,24.312380,1.199324,24.573097,128.355186,20.589943,120.011663,0.589420,0.057684,0.606250,0.262300,0.017671,0.277137,26.065900,0.242255,25.434737
4900,156.073118,19.924001,129.553708,0.559940,0.044680,0.532776,0.346780,0.042787,0.349143,24.567740,0.738961,24.571758,143.616510,18.997926,125.912875,0.656100,0.062162,0.618713,0.249040,0.015384,0.270113,25.840580,0.931863,25.536198
5000,147.988158,21.186066,134.162321,0.583620,0.047389,0.545487,0.352920,0.036546,0.350087,24.389000,0.286249,24.526068,167.080046,21.516662,136.204667,0.646200,0.038065,0.625584,0.276380,0.042336,0.271680,25.315500,0.976494,25.481023
5100,121.845871,30.896169,131.083208,0.540220,0.043849,0.544170,0.331420,0.053088,0.345420,24.864200,0.273277,24.610601,155.656180,16.317404,141.067546,0.674780,0.031191,0.637883,0.251400,0.041333,0.266610,25.170880,0.571992,25.403487
5200,124.728610,30.269806,129.494559,0.557840,0.031934,0.547588,0.307440,0.058135,0.335925,25.393560,1.240327,24.806341,151.989899,9.197612,143.798134,0.636940,0.031610,0.637648,0.257220,0.017074,0.264262,24.795220,0.649298,25.251421
5300,114.542332,23.156715,125.756502,0.643260,0.109243,0.571506,0.322600,0.035279,0.332594,26.006580,0.881593,25.106401,161.700797,10.032426,148.273800,0.659180,0.030017,0.643031,0.228840,0.022361,0.255407,25.228920,0.850946,25.245795
5400,109.617689,20.830968,121.721799,0.598300,0.057188,0.578204,0.321080,0.057166,0.329715,25.332160,1.095026,25.162841,161.922732,14.954956,151.686033,0.636140,0.046960,0.641308,0.252880,0.013965,0.254775,25.554240,0.738360,25.322907
5500,95.423838,26.490204,115.147308,0.603700,0.063570,0.584578,0.349220,0.067728,0.334592,26.298700,0.297189,25.446805,132.086892,22.548899,146.786248,0.659680,0.055217,0.645901,0.239940,0.043205,0.251066,25.881380,0.235867,25.462525
5600,130.087713,30.449872,118.882409,0.583740,0.012373,0.584369,0.319940,0.047304,0.330929,26.261700,0.597159,25.650529,156.745540,19.418855,149.276071,0.672800,0.022046,0.652626,0.270420,0.037627,0.255905,25.740840,0.699338,25.532104
5700,92.503310,24.042363,112.287635,0.542800,0.059348,0.573977,0.287680,0.031138,0.320117,25.400020,0.511635,25.587902,135.975480,5.919369,145.950923,0.683740,0.065845,0.660404,0.231160,0.015722,0.249719,26.399880,0.937590,25.749048
5800,107.245855,8.026212,111.027190,0.615640,0.052442,0.584392,0.283640,0.054455,0.310997,25.521640,0.363121,25.571336,129.110558,6.236889,141.740832,0.653980,0.033365,0.658798,0.235980,0.036296,0.246284,26.508700,0.541217,25.938961
5900,114.607268,18.789178,111.922209,0.619320,0.039713,0.593124,0.275040,0.053693,0.302008,25.024280,1.017244,25.434572,125.152737,20.846876,137.593808,0.692200,0.042229,0.667149,0.273420,0.037458,0.253068,26.111580,0.546498,25.982116
6000,114.254430,10.184616,112.505264,0.639100,0.073416,0.604618,0.307400,0.071130,0.303356,24.404960,0.166288,25.177169,132.489520,12.829845,136.317736,0.664040,0.068638,0.666372,0.277280,0.024048,0.259121,25.825820,0.574772,25.943042
