init,     2026-04-08 14:20:08.315999
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaprob', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    341, -60.055783
train,    342, -60.052897
train,    343, -60.274405
train,    344, -60.052987
train,    345, -60.055748
train,    346, -60.135280
train,    347, -60.056670
train,    348, -60.183254
train,    349, -60.053716
train,    350, -60.052879
train,    351, -60.331464
train,    352, -60.267453
train,    353, -60.265940
train,    354, -60.287937
train,    355, -60.056802
train,    356, -60.287025
train,    357, -60.241059
train,    358, -60.053446
train,    359, -60.279976
train,    360, -60.349322
train,    361, -60.052653
train,    362, -60.052689
train,    363, -60.246704
train,    364, -60.307708
train,    365, -60.404520
train,    366, -60.052869
train,    367, -60.183497
train,    368, -60.056044
train,    369, -60.264824
train,    370, -60.311735
train,    371, -60.058753
train,    372, -60.052647
train,    373, -60.395581
train,    374, -60.053745
train,    375, -60.187654
train,    376, -60.287762
train,    377, -60.055472
train,    378, -60.306642
train,    379, -60.260105
train,    380, -60.053305
train,    381, -60.253594
train,    382, -65.475874
train,    383, -63.705356
train,    384, -60.249009
train,    385, -60.285039
train,    386, -60.293810
train,    387, -59.921127
train,    388, -65.425391
train,    389, -65.340412
train,    390, -63.839756
train,    391, -84.076949
train,    392, -73.720976
train,    393, -77.716474
train,    394, -72.732470
train,    395, -59.923331
train,    396, -70.601674
train,    397, -59.781971
train,    398, -60.052822
train,    399, -60.226630
val,      399,   -60.195916,   -60.226630
train,    400, -60.138301
train,    401, -60.053597
train,    402, -60.315484
train,    403, -81.211024
train,    404, -63.509691
train,    405, -60.268555
train,    406, -60.302044
train,    407, -60.530290
train,    408, -60.052764
train,    409, -60.344614
train,    410, -60.284002
train,    411, -61.636262
train,    412, -60.905585
train,    413, -72.824732
train,    414, -62.619587
train,    415, -61.727084
train,    416, -59.312870
train,    417, -61.167166
train,    418, -61.423547
train,    419, -60.283767
train,    420, -60.139391
train,    421, -64.973909
train,    422, -60.259424
train,    423, -60.875290
train,    424, -57.560993
train,    425, -60.307086
train,    426, -58.438311
train,    427, -60.265724
train,    428, -60.056667
train,    429, -60.136107
train,    430, -60.053769
train,    431, -60.408054
train,    432, -60.183836
train,    433, -60.318869
train,    434, -60.378401
train,    435, -60.417218
train,    436, -60.270915
train,    437, -60.053748
train,    438, -60.264568
train,    439, -60.314898
train,    440, -60.284644
train,    441, -60.058631
train,    442, -60.256590
train,    443, -60.516338
train,    444, -60.401217
train,    445, -60.241104
train,    446, -60.135499
train,    447, -60.253372
train,    448, -60.304106
train,    449, -60.288821
train,    450, -60.273680
train,    451, -60.137944
train,    452, -60.407049
train,    453, -60.581613
train,    454, -60.402411
train,    455, -60.632888
train,    456, -60.914250
train,    457, -60.465755
train,    458, -60.138879
train,    459, -73.536357
train,    460, -60.237574
train,    461, -60.288094
train,    462, -60.547809
train,    463, -60.322288
train,    464, -60.325082
train,    465, -60.052999
train,    466, -60.055022
train,    467, -60.147276
train,    468, -60.870405
train,    469, -64.094612
