episode,timesteps,is_best,mean_return,mean_return_smooth,success_rate,success_rate_smooth,collision_rate,collision_rate_smooth,mean_speed,mean_speed_smooth
999,999,0,16.314283,22.113469,0.677600,0.664180,0.321000,0.303625,20.796100,20.713533
1009,1009,0,22.681895,22.255575,0.667900,0.665110,0.281100,0.297993,20.668100,20.702175
1019,1019,0,21.471134,22.059465,0.697200,0.673132,0.283000,0.294245,20.757000,20.715881
1029,1029,0,19.672302,21.462674,0.727400,0.686699,0.326600,0.302334,20.729500,20.719286
1039,1039,0,26.574846,22.740717,0.696300,0.689100,0.264000,0.292750,20.666300,20.706039
1049,1049,0,28.019760,24.060478,0.695900,0.690800,0.278800,0.289263,20.797000,20.728779
1059,1059,0,28.097539,25.069743,0.678800,0.687800,0.257200,0.281247,20.654100,20.710110
1069,1069,0,27.605017,25.703562,0.654100,0.679375,0.292100,0.283960,20.706800,20.709282
1079,1079,0,24.237225,25.336977,0.660100,0.674556,0.256800,0.277170,20.715000,20.710712
1089,1089,0,20.748204,24.189784,0.704800,0.682117,0.245100,0.269153,20.837100,20.742309
1099,1099,0,22.124383,23.673434,0.648300,0.673663,0.274200,0.270415,20.758300,20.746307
1109,1109,0,17.108262,22.032141,0.731800,0.688197,0.299600,0.277711,20.732100,20.742755
1119,1119,0,20.752254,21.712169,0.680800,0.686348,0.258500,0.272908,20.642000,20.717566
1129,1129,0,26.681091,22.954400,0.644700,0.675936,0.235800,0.263631,20.641400,20.698525
1139,1139,0,25.656840,23.630010,0.696700,0.681127,0.255700,0.261648,20.747800,20.710843
1149,1149,0,24.647171,23.884300,0.708900,0.688070,0.244600,0.257386,20.793200,20.731433
1159,1159,0,30.813280,25.616545,0.680000,0.686053,0.258400,0.257640,20.671800,20.716524
1169,1169,0,26.235289,25.771231,0.688800,0.686739,0.250500,0.255855,20.610400,20.689993
1179,1179,0,24.200417,25.378528,0.702400,0.690655,0.262400,0.257491,20.814900,20.721220
1189,1189,0,24.482955,25.154634,0.667400,0.684841,0.256800,0.257318,20.759000,20.730665
1199,1199,0,13.965209,22.357278,0.702100,0.689156,0.247700,0.254914,20.716400,20.727099
1209,1209,0,18.454035,21.381467,0.723400,0.697717,0.250300,0.253760,20.630800,20.703024
1219,1219,0,23.306292,21.862673,0.691500,0.696163,0.323600,0.271220,20.741300,20.712593
1229,1229,0,26.114658,22.925670,0.697500,0.696497,0.272500,0.271540,20.668900,20.701670
1239,1239,0,29.216412,24.498355,0.728200,0.704423,0.279900,0.273630,20.809400,20.728602
1249,1249,0,32.184788,26.419963,0.695900,0.702292,0.264600,0.271373,20.654400,20.710052
1259,1259,0,27.508122,26.692003,0.707100,0.703494,0.190300,0.251104,20.730400,20.715139
1269,1269,0,31.934007,28.002504,0.714100,0.706146,0.302700,0.264003,20.775800,20.730304
1279,1279,0,27.413335,27.855212,0.738700,0.714284,0.278300,0.267578,20.787600,20.744628
1289,1289,0,21.812704,26.344585,0.685500,0.707088,0.280200,0.270733,20.905800,20.784921
1299,1299,0,20.962351,24.999026,0.680100,0.700341,0.243700,0.263975,20.701100,20.763966
1309,1309,0,22.547315,24.386099,0.706200,0.701806,0.216700,0.252156,20.888100,20.794999
1319,1319,0,28.427050,25.396336,0.689200,0.698654,0.212800,0.242317,20.756400,20.785350
1329,1329,0,32.660025,27.212259,0.749700,0.711416,0.254100,0.245263,20.863800,20.804962
1339,1339,0,29.122019,27.689699,0.698000,0.708062,0.220500,0.239072,20.704900,20.779947
1349,1349,0,27.427705,27.624200,0.755300,0.719871,0.276400,0.248404,20.770800,20.777660
1359,1359,0,27.030069,27.475667,0.751800,0.727854,0.236300,0.245378,20.713800,20.761695
1369,1369,0,25.889636,27.079160,0.697800,0.720340,0.230200,0.241584,20.795200,20.770071
1379,1379,0,26.044869,26.820587,0.680000,0.710255,0.250500,0.243813,20.738300,20.762128
1389,1389,0,20.098901,25.140165,0.730400,0.715291,0.262800,0.248559,20.794700,20.770271
1399,1399,0,21.719952,24.285112,0.732700,0.719643,0.249600,0.248820,20.702100,20.753228
1409,1409,0,23.338129,24.048366,0.720800,0.719933,0.208400,0.238715,20.737700,20.749346
1419,1419,0,24.853954,24.249763,0.730900,0.722674,0.242200,0.239586,20.780500,20.757135
1429,1429,0,23.612141,24.090358,0.708200,0.719056,0.197100,0.228965,20.786500,20.764476
1439,1439,0,27.896969,25.042011,0.758700,0.728967,0.220300,0.226798,20.851900,20.786332
1449,1449,0,30.032593,26.289656,0.692400,0.719825,0.238300,0.229674,20.699800,20.764699
1459,1459,0,26.678854,26.386956,0.713300,0.718194,0.233100,0.230530,20.719900,20.753499
1469,1469,0,23.245857,25.601681,0.723300,0.719470,0.210800,0.225598,20.724800,20.746324
1479,1479,0,20.517785,24.330707,0.706500,0.716228,0.268800,0.236398,20.779100,20.754518
1489,1489,0,23.537677,24.132449,0.714300,0.715746,0.214100,0.230824,20.782100,20.761414
1499,1499,0,20.764898,23.290562,0.715200,0.715609,0.289500,0.245493,20.851700,20.783985
1509,1509,0,29.376742,24.812107,0.716200,0.715757,0.212300,0.237195,20.721000,20.768239
1519,1519,0,26.029113,25.116358,0.740200,0.721868,0.175200,0.221696,20.702400,20.751779
1529,1529,0,38.279864,28.407235,0.726200,0.722951,0.241900,0.226747,20.660700,20.729009
1539,1539,0,30.605749,28.956863,0.737400,0.726563,0.222300,0.225635,20.793000,20.745007
1549,1549,0,30.941224,29.452953,0.730700,0.727597,0.193700,0.217651,20.919400,20.788605
1559,1559,0,29.213297,29.393039,0.696000,0.719698,0.244000,0.224239,20.732900,20.774679
1569,1569,0,25.294689,28.368452,0.773700,0.733199,0.190300,0.215754,20.780000,20.776009
1579,1579,0,22.938606,27.010990,0.718000,0.729399,0.242200,0.222365,20.786400,20.778607
1589,1589,0,26.321419,26.838597,0.725500,0.728424,0.195700,0.215699,20.713500,20.762330
1599,1599,0,23.809246,26.081260,0.746000,0.732818,0.208900,0.213999,20.800600,20.771898
1609,1609,0,29.780469,27.006062,0.729200,0.731914,0.241100,0.220774,20.756000,20.767923
1619,1619,0,33.446092,28.616069,0.744000,0.734935,0.213900,0.219056,20.817300,20.780267
1629,1629,0,31.439523,29.321933,0.750400,0.738801,0.194000,0.212792,20.747200,20.772001
1639,1639,0,32.869862,30.208915,0.752200,0.742151,0.213200,0.212894,20.846800,20.790700
1649,1649,0,26.886859,29.378401,0.763000,0.747363,0.229100,0.216945,20.829500,20.800400
1659,1659,0,24.403116,28.134580,0.739100,0.745297,0.211000,0.215459,20.816600,20.804450
1669,1669,0,22.836480,26.810055,0.772600,0.752123,0.207500,0.213469,20.790200,20.800888
1679,1679,0,22.370606,25.700193,0.719000,0.743842,0.241600,0.220502,20.769200,20.792966
1689,1689,0,21.266961,24.591885,0.747800,0.744832,0.228600,0.222526,20.865100,20.810999
1699,1699,0,25.279363,24.763754,0.753800,0.747074,0.217700,0.221320,20.829800,20.815699
1709,1709,0,28.416818,25.677020,0.714800,0.739005,0.230400,0.223590,20.741000,20.797025
1719,1719,0,31.956512,27.246893,0.728000,0.736254,0.250200,0.230242,20.888300,20.819843
1729,1729,0,32.574605,28.578821,0.750800,0.739891,0.205800,0.224132,20.762900,20.805608
1739,1739,0,32.740713,29.619294,0.747200,0.741718,0.189400,0.215449,20.843000,20.814956
1749,1749,0,28.023071,29.220238,0.767200,0.748088,0.233100,0.219862,20.821200,20.816517
1759,1759,0,27.811516,28.868058,0.749900,0.748541,0.199700,0.214821,20.757800,20.801838
1769,1769,0,24.134771,27.684736,0.727200,0.743206,0.214700,0.214791,20.765200,20.792678
1779,1779,0,25.569413,27.155905,0.715600,0.736304,0.188000,0.208093,20.846800,20.806209
1789,1789,0,29.949235,27.854238,0.744200,0.738278,0.240700,0.216245,20.796700,20.803831
1799,1799,0,30.652757,28.553868,0.733100,0.736984,0.179100,0.206959,20.862700,20.818549
1809,1809,0,33.036439,29.674510,0.763100,0.743513,0.155800,0.194169,20.817100,20.818186
1819,1819,0,31.362828,30.096590,0.756500,0.746760,0.206400,0.197227,20.838600,20.823290
1829,1829,0,28.033442,29.580803,0.747600,0.746970,0.167800,0.189870,20.766200,20.809017
1839,1839,0,26.842569,28.896244,0.747600,0.747127,0.218400,0.197003,20.862300,20.822338
1849,1849,0,27.991270,28.670001,0.759900,0.750320,0.210200,0.200302,20.752600,20.804904
1859,1859,0,23.141053,27.287764,0.759200,0.752540,0.232300,0.208301,20.849100,20.815953
1869,1869,0,26.446862,27.077538,0.744700,0.750580,0.214700,0.209901,20.818300,20.816539
1879,1879,0,23.355012,26.146907,0.772900,0.756160,0.217100,0.211701,20.817400,20.816755
1889,1889,0,27.452956,26.473419,0.757800,0.756570,0.271600,0.226676,20.783800,20.808516
1899,1899,0,30.552913,27.493293,0.785600,0.763828,0.214200,0.223557,20.756800,20.795587
1909,1909,0,32.418000,28.724469,0.785400,0.769221,0.197000,0.216918,20.849800,20.809140
1919,1919,0,32.163603,29.584253,0.748100,0.763941,0.188100,0.209713,20.757400,20.796205
1929,1929,0,31.121495,29.968563,0.713500,0.751330,0.195900,0.206260,20.735400,20.781004
1939,1939,0,26.071370,28.994265,0.702500,0.739123,0.169700,0.197120,20.781900,20.781228
1949,1949,0,24.154174,27.784242,0.750300,0.741917,0.273200,0.216140,20.882600,20.806571
1959,1959,0,25.072397,27.106281,0.759400,0.746288,0.250400,0.224705,20.927800,20.836878
1969,1969,0,26.835410,27.038563,0.748000,0.746716,0.212900,0.221754,20.775700,20.821584
1979,1979,0,29.015804,27.532873,0.757700,0.749462,0.227600,0.223215,20.770900,20.808913
1989,1989,0,31.133753,28.433093,0.760500,0.752221,0.226700,0.224086,20.799200,20.806485
1999,1999,0,33.025833,29.581278,0.748500,0.751291,0.198200,0.217615,20.783400,20.800713
