episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
379,4.677343,3.694337,-2.736675,0.375100,0.012574,0.343962,0.524567,0.038236,0.555438,20.195733,0.030163,20.179058,0.095536,2.459430,1.762291,0.470800,0.055975,0.460307,0.500867,0.019748,0.499994,20.491633,0.070380,20.482536
389,4.246867,2.927940,-0.990790,0.355600,0.030125,0.346871,0.534733,0.023424,0.550261,20.218567,0.047044,20.188935,3.884604,5.242675,2.292869,0.476667,0.027876,0.464397,0.433567,0.010205,0.483387,20.395567,0.087802,20.460793
399,4.081982,4.723829,0.277403,0.312833,0.014331,0.338362,0.557100,0.040860,0.551971,20.266767,0.066273,20.208393,5.623041,5.641571,3.125412,0.428867,0.062515,0.455514,0.484267,0.019139,0.483607,20.460733,0.093962,20.460778
409,1.715974,2.935492,0.637046,0.328500,0.043194,0.335896,0.528000,0.009456,0.545978,20.197833,0.058997,20.205753,5.914531,3.034102,3.822692,0.485033,0.079966,0.462894,0.505667,0.019392,0.489122,20.437600,0.093805,20.454984
419,-2.937571,1.785730,-0.256608,0.357467,0.037790,0.341289,0.573400,0.009582,0.552834,20.195467,0.065279,20.203181,7.629765,2.178670,4.774460,0.473833,0.043440,0.465629,0.494767,0.049578,0.490533,20.417233,0.099327,20.445546
429,-7.404178,6.829356,-2.043501,0.333733,0.038026,0.339400,0.570600,0.021695,0.557275,20.182167,0.036096,20.197928,6.773143,2.292342,5.274131,0.487833,0.044733,0.471180,0.432967,0.002735,0.476142,20.491400,0.070406,20.457010
439,-2.869685,3.147774,-2.250047,0.340433,0.043422,0.339658,0.530967,0.025383,0.550698,20.182567,0.051814,20.194087,2.624460,4.053739,4.611713,0.489267,0.031895,0.475702,0.441600,0.067699,0.467506,20.476300,0.068752,20.461832
449,-1.340123,2.395515,-2.022566,0.382967,0.045461,0.350485,0.561800,0.027126,0.553474,20.208400,0.073883,20.197666,-0.040698,2.304544,3.448610,0.492667,0.056788,0.479943,0.452767,0.020884,0.463821,20.537733,0.090753,20.480807
459,0.295511,1.850325,-1.443047,0.401467,0.034982,0.363231,0.566900,0.023421,0.556830,20.120800,0.081836,20.178449,2.493554,1.182028,3.209846,0.505667,0.041263,0.486374,0.437733,0.017110,0.457299,20.497600,0.124598,20.485006
469,5.347043,3.900757,0.254476,0.355333,0.004715,0.361256,0.488967,0.048134,0.539864,20.198367,0.042621,20.183429,3.246213,2.130161,3.218938,0.517067,0.046724,0.494047,0.454967,0.011144,0.456716,20.515933,0.104440,20.492738
479,13.879914,3.525260,3.660835,0.390467,0.038040,0.368559,0.572567,0.025057,0.548040,20.201633,0.116943,20.187980,5.343364,5.582633,3.750044,0.536700,0.083007,0.504710,0.462633,0.029960,0.458195,20.521033,0.079040,20.499811
