episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
849,-9.853268,10.960717,1.792825,0.498633,0.093282,0.432186,0.434133,0.037001,0.396186,10.075533,0.399103,10.167080,-2.298099,11.478467,4.991441,0.543300,0.057210,0.524241,0.399267,0.079552,0.400603,11.302133,0.598875,11.174945
874,25.090218,1.863135,7.617173,0.523700,0.070009,0.455064,0.343367,0.083359,0.382981,10.213267,0.236699,10.178626,15.083854,25.750819,7.514544,0.550367,0.019218,0.530773,0.416167,0.122420,0.404494,11.168633,0.288357,11.173367
899,44.672944,7.018320,16.881116,0.522967,0.109432,0.472040,0.437833,0.015369,0.396694,9.937267,0.590771,10.118287,40.757179,13.031104,15.825203,0.541467,0.098294,0.533446,0.337667,0.167350,0.387787,10.550633,0.294034,11.017683
924,58.465861,2.824266,27.277302,0.468233,0.029658,0.471088,0.377967,0.071674,0.392012,10.176367,0.154250,10.132807,44.221524,8.760995,22.924283,0.522933,0.131556,0.530818,0.315467,0.039363,0.369707,11.776400,0.156604,11.207363
949,30.956902,8.390006,28.197202,0.429933,0.058851,0.460800,0.435967,0.059747,0.403001,10.453733,0.208933,10.213038,18.692532,26.169065,21.866345,0.529100,0.061472,0.530388,0.268967,0.024192,0.344522,11.345433,0.048816,11.241880
974,4.663657,4.474058,22.313816,0.474200,0.030873,0.464150,0.331967,0.039981,0.385242,9.941900,0.766940,10.145254,10.990836,12.610093,19.147468,0.588200,0.050539,0.544841,0.269433,0.026449,0.325750,12.152433,0.239288,11.469519
999,5.204475,6.587659,18.036481,0.500367,0.073499,0.473204,0.337167,0.078304,0.373223,10.666000,0.467110,10.275440,18.644883,11.345291,19.021822,0.531733,0.090520,0.541564,0.311867,0.067501,0.322279,12.594300,0.225711,11.750714
1024,19.103518,12.500860,18.303240,0.558367,0.041154,0.494495,0.352667,0.074792,0.368084,11.445367,0.440020,10.567922,41.493086,16.427384,24.639638,0.505033,0.048828,0.532432,0.343433,0.020058,0.327568,11.701567,0.869353,11.738427
1049,42.079020,6.643389,24.247185,0.463300,0.099233,0.486696,0.348867,0.075932,0.363280,11.460233,0.447507,10.791000,44.339940,11.617051,29.564713,0.592067,0.030603,0.547340,0.279067,0.026106,0.315442,12.237067,0.063231,11.863087
1074,38.548000,4.427730,27.822389,0.471133,0.051031,0.482805,0.327400,0.073077,0.354310,10.859367,0.428905,10.808091,49.847629,12.815627,34.635442,0.635367,0.054811,0.569347,0.359233,0.144845,0.326390,12.511667,0.178992,12.025232
1099,18.591068,7.522652,25.514558,0.557800,0.035671,0.501554,0.322367,0.061206,0.346324,11.673733,0.355689,11.024502,29.055060,22.277248,33.240347,0.663500,0.030036,0.592885,0.409867,0.081748,0.347259,12.588200,1.394439,12.165974
1124,0.280814,2.140138,19.206122,0.513467,0.043134,0.504532,0.380767,0.020061,0.354935,11.049367,0.586152,11.030718,17.174201,17.294705,29.223810,0.632867,0.119590,0.602881,0.312167,0.016919,0.338486,12.275133,0.735559,12.193264
1149,-3.502225,3.309033,13.529035,0.534700,0.023967,0.512074,0.354267,0.051278,0.354768,11.004733,0.422341,11.024222,5.484136,6.332128,23.288892,0.630733,0.028879,0.609844,0.269033,0.066985,0.321123,12.476967,0.160736,12.264190
1174,16.497388,4.071646,14.271124,0.506600,0.046311,0.510706,0.316233,0.067056,0.345134,11.427900,0.649589,11.125141,14.807210,22.500183,21.168471,0.686000,0.023338,0.628883,0.223033,0.092195,0.296601,11.991700,0.252804,12.196067
1199,41.160305,7.327657,20.993419,0.600267,0.065637,0.533096,0.317933,0.123418,0.338334,10.757167,0.533976,11.033148,33.575366,23.974247,24.270195,0.650467,0.049298,0.634279,0.329433,0.065675,0.304809,12.314800,0.702184,12.225750
1224,45.138541,6.928174,27.029699,0.569500,0.045136,0.542197,0.391467,0.020925,0.351617,11.257600,1.182456,11.089261,32.614427,10.774398,26.356253,0.649500,0.048776,0.638084,0.271633,0.062477,0.296515,11.933467,0.218314,12.152679
1249,36.710140,8.080113,29.449810,0.508633,0.023812,0.533806,0.288700,0.043891,0.335888,10.827400,0.531382,11.023796,15.237543,14.424023,23.576576,0.628700,0.016242,0.635738,0.195433,0.069948,0.271244,11.528567,0.588014,11.996651
1274,24.242880,2.349923,28.148077,0.526200,0.050274,0.531904,0.348133,0.002205,0.338949,11.569767,0.290412,11.160288,2.750230,17.244910,18.369989,0.679900,0.033065,0.646779,0.260667,0.050974,0.268600,12.532567,0.167824,12.130630
1299,23.710553,3.973036,27.038696,0.608633,0.071380,0.551087,0.333033,0.042526,0.337470,11.481500,0.184410,11.240591,4.398901,1.468809,14.877217,0.735067,0.051085,0.668851,0.225667,0.087224,0.257867,12.970400,0.366027,12.340573
1324,48.328517,5.920244,32.361151,0.532767,0.017279,0.546507,0.350100,0.053935,0.340628,11.486900,0.381826,11.302168,28.239648,19.821934,18.217825,0.624733,0.080708,0.657821,0.340133,0.031725,0.278433,13.055867,0.323956,12.519396
1349,74.901513,4.760845,42.996242,0.561267,0.010574,0.550197,0.304600,0.047555,0.331621,11.777567,0.571555,11.421018,41.923669,9.997294,24.144286,0.672833,0.018775,0.661574,0.261100,0.073412,0.274100,13.105233,0.270944,12.665855
1374,71.651455,2.622894,50.160045,0.539533,0.019392,0.547531,0.355733,0.026451,0.337649,11.945633,0.434235,11.552172,35.221446,12.024499,26.913576,0.658433,0.050925,0.660789,0.201667,0.026993,0.255992,12.942033,0.341295,12.734900
1399,53.970042,6.063889,51.112544,0.657200,0.004863,0.574948,0.344167,0.003120,0.339278,12.053700,0.328062,11.677554,32.267539,21.948419,28.252067,0.652967,0.047743,0.658833,0.238067,0.023568,0.251510,13.607900,0.769592,12.953150
1424,41.744049,5.062304,48.770421,0.629567,0.022379,0.588603,0.398100,0.056869,0.353984,11.957433,0.614661,11.747524,18.940660,3.670412,25.924215,0.615100,0.076793,0.647900,0.167167,0.105482,0.230424,13.412967,0.352989,13.068104
1449,32.441066,1.389615,44.688082,0.580533,0.045450,0.586585,0.353433,0.022377,0.353846,11.935100,0.742581,11.794418,29.228962,1.154150,26.750402,0.695933,0.038709,0.659908,0.287967,0.038587,0.244810,13.747467,0.623503,13.237945
1474,49.331430,7.442558,45.848919,0.618700,0.021609,0.594614,0.287533,0.064458,0.337268,11.639833,0.281383,11.755772,39.770244,17.317877,30.005362,0.681467,0.028140,0.665298,0.275300,0.042913,0.252433,13.575667,0.859202,13.322375
1499,70.102519,7.222284,51.912319,0.712067,0.034150,0.623977,0.326300,0.063881,0.334526,11.846300,0.498540,11.778404,55.965069,7.720795,36.495289,0.621433,0.013553,0.654332,0.227300,0.051489,0.246149,13.128067,0.710369,13.273798
1524,75.308307,4.781624,57.761316,0.634400,0.033056,0.626583,0.300600,0.029017,0.326044,11.286333,0.226022,11.655386,52.147614,4.742987,40.408370,0.704033,0.039341,0.666757,0.238567,0.022566,0.244254,12.694600,0.892615,13.128999
1549,58.783743,8.635031,58.016923,0.650800,0.069177,0.632637,0.293433,0.045808,0.317892,12.006633,0.357487,11.743198,37.956753,15.109829,39.795466,0.688300,0.037233,0.672143,0.246733,0.070200,0.244874,13.163867,0.635940,13.137716
1574,45.263809,3.435015,54.828644,0.673433,0.051939,0.642836,0.312167,0.043815,0.316460,12.127833,0.463010,11.839357,22.524066,13.416341,35.477616,0.720200,0.049765,0.684157,0.228133,0.045613,0.240689,12.976100,0.760872,13.097312
